id,unit_number,unit_size,unit_balcony_size,unit_current_price,unit_construction_year,unit_scan_date,unit_status_id,project_id,unit_category_id,unit_type_id,unit_url,unit_rooms,unit_floor,sqrm_price
159,Korter 7,61.6,26.9,0,2020,2021-03-05,3,4,1,1,#,3,2,0
160,Korter 8,28.8,4.5,0,2020,2021-03-05,3,4,1,1,#,1,3,0
161,Korter 9,49.1,4.7,0,2020,2021-03-05,3,4,1,1,#,2,3,0
162,Korter 10,62.6,5.6,0,2020,2021-03-05,3,4,1,1,#,3,3,0
163,Korter 11,83.6,5.6,0,2020,2021-03-05,3,4,1,1,#,4,3,0
164,Korter 12,45.5,4.8,0,2020,2021-03-05,3,4,1,1,#,2,3,0
165,Korter 13,49.5,4.7,0,2020,2021-03-05,3,4,1,1,#,2,3,0
166,Korter 14,45.8,5.6,0,2020,2021-03-05,3,4,1,1,#,2,3,0
167,Korter 15,61.6,4.8,0,2020,2021-03-05,3,4,1,1,#,3,3,0
168,Korter 16,28.8,4.5,0,2020,2021-03-05,3,4,1,1,#,1,4,0
169,Korter 17,49.1,4.7,0,2020,2021-03-05,3,4,1,1,#,2,4,0
170,Korter 18,62.6,5.6,0,2020,2021-03-05,3,4,1,1,#,3,4,0
171,Korter 19,83.6,5.6,0,2020,2021-03-05,2,4,1,1,https://kaamos.ee/hobemetsa/prices/kadaka-tee-191c/korter-19/,4,4,0
172,Korter 20,45.5,4.8,0,2020,2021-03-05,3,4,1,1,#,2,4,0
173,Korter 21,49.5,4.7,0,2020,2021-03-05,3,4,1,1,#,2,4,0
174,Korter 22,45.8,5.6,0,2020,2021-03-05,3,4,1,1,#,2,4,0
175,Korter 23,61.6,4.8,0,2020,2021-03-05,3,4,1,1,#,3,4,0
176,Korter 24,78.1,9.2,0,2020,2021-03-05,3,4,1,1,#,4,5,0
177,Korter 25,62.6,5.6,0,2020,2021-03-05,3,4,1,1,#,3,5,0
178,Korter 26,83.6,5.6,0,2020,2021-03-05,3,4,1,1,#,4,5,0
179,Korter 27,45.5,4.8,0,2020,2021-03-05,3,4,1,1,#,2,5,0
180,Korter 28,49.5,4.7,0,2020,2021-03-05,3,4,1,1,#,2,5,0
181,Korter 29,45.8,5.6,0,2020,2021-03-05,3,4,1,1,#,2,5,0
182,Korter 30,61.6,4.8,0,2020,2021-03-05,3,4,1,1,#,3,5,0
183,Korter 1,68.3,14.8,0,2021,2021-03-05,3,5,1,1,#,3,1,0
